new_#,midterm,week,week_title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID,old_#
32,1,3,Getting across the membrane,Membrane Transport,Transport maximum and saturation,"Interpret a transport rate curve, identify the transport maximum, and apply the concept to renal glucose handling in hyperglycemia.",Yes,Yes,3,high,w2-transport-maximum,31
33,1,3,Getting across the membrane,Membrane Transport,Vesicular transport,"Compare phagocytosis, pinocytosis, receptor mediated endocytosis, and exocytosis by trigger, cargo, and energy requirement.",Yes,,2,high,w2-vesicular-transport,32
34,1,3,Getting across the membrane,Membrane Transport,Transepithelial transport,Trace glucose or sodium from lumen to blood across a polarized epithelium and identify which step occurs at the apical membrane and which at the basolateral membrane.,Yes,,3,core,w2-transepithelial-transport,33
35,1,3,Getting across the membrane,Membrane Transport,Transport simulation,Use a membrane transport simulation to distinguish simple diffusion from facilitated diffusion and active transport by their response to gradient reversal and metabolic poison.,,Yes,3,high,w2-lab-transport-sim,34
36,1,4,The action potential,Membrane Potential,Ion distribution and electrochemical gradients,"State the typical intracellular and extracellular concentrations of sodium, potassium, chloride, and calcium and separate the chemical from the electrical component of the driving force on each ion.",Yes,,2,core,w2-electrochemical-gradient,35
37,1,4,The action potential,Membrane Potential,Nernst equation,Calculate the equilibrium potential for an ion with the Nernst equation and explain what the sign of the result means for the direction that ion will move.,Yes,Yes,3,core,w2-nernst,36
38,1,4,The action potential,Membrane Potential,Resting membrane potential,Explain why the resting membrane potential sits near the potassium equilibrium potential and predict how it shifts when membrane permeability to potassium or sodium changes.,Yes,,3,core,w2-resting-potential,37
39,1,4,The action potential,Membrane Potential,Ion channel gating,"Compare leak, voltage gated, ligand gated, and mechanically gated channels by what opens each one and give a physiological location for each.",Yes,,2,core,w2-ion-channels,38
40,1,4,The action potential,Membrane Potential,Depolarization and hyperpolarization,"Define depolarization, repolarization, hyperpolarization, and overshoot and label each on a membrane potential tracing.",Yes,Yes,1,core,w2-potential-terms,39
41,1,4,The action potential,Membrane Potential,Membrane potential simulation,Manipulate extracellular potassium and sodium in a simulation and record the resulting change in resting membrane potential against the Nernst prediction.,,Yes,3,high,w2-lab-membrane-potential,40
42,1,4,The action potential,Neurons and Neuroglia,Neuron structural and functional classes,"Classify a neuron as multipolar, bipolar, or pseudounipolar by structure and as sensory, motor, or interneuron by function, and match each class to a location in the nervous system.",Yes,Yes,2,core,w4-neuron-classes,50
43,1,4,The action potential,Neurons and Neuroglia,Functional regions of a neuron,"Label the dendrites, cell body, axon hillock, trigger zone, axon, and axon terminal and state which signal type each region carries.",Yes,Yes,2,core,w4-neuron-regions,51
44,1,4,The action potential,Neurons and Neuroglia,Glial cell functions,"Match astrocytes, oligodendrocytes, microglia, ependymal cells, satellite cells, and Schwann cells to their physiological roles.",Yes,Yes,2,core,w4-glia-functions,52
45,1,4,The action potential,Neurons and Neuroglia,Myelin and its loss,Explain how myelin and the nodes of Ranvier speed conduction and predict the functional consequence of demyelination.,Yes,,3,high,w4-myelin,53
46,1,4,The action potential,Neurons and Neuroglia,Axonal transport,Distinguish fast anterograde and retrograde axonal transport from slow transport and state what each carries.,Yes,,1,support,w4-axonal-transport,54
47,1,4,The action potential,Electrical Signaling,Graded potentials,"Describe how a graded potential is produced and explain why it varies with stimulus strength and decays with distance, using the terms current leak and cytoplasmic resistance.",Yes,,2,core,w4-graded-potentials,55
48,1,4,The action potential,Electrical Signaling,Action potential phases,Diagram an action potential and state the channel state and ion movement responsible for depolarization to peak and for repolarization and afterhyperpolarization.,Yes,Yes,2,core,w4-action-potential,56
49,1,4,The action potential,Electrical Signaling,Threshold and all or none,Explain what threshold represents at the trigger zone and why action potential amplitude does not change with a stronger stimulus.,Yes,,2,core,w4-threshold,57
50,1,4,The action potential,Electrical Signaling,Coding of stimulus intensity,Explain how the nervous system encodes stimulus strength when action potential amplitude is fixed.,Yes,,2,core,w4-intensity-coding,58
51,1,4,The action potential,Electrical Signaling,Refractory periods,Distinguish the absolute from the relative refractory period by channel state and explain how the refractory period sets maximum firing frequency and prevents backward conduction.,Yes,,3,core,w4-refractory,59
52,1,4,The action potential,Electrical Signaling,Conduction velocity,Rank axons by conduction velocity using diameter and myelination and contrast continuous with saltatory conduction.,Yes,Yes,2,core,w4-conduction-velocity,60
53,1,4,The action potential,Electrical Signaling,Effects of altered extracellular ions,Predict the effect of hyperkalemia and hypokalemia on resting potential and excitability and explain why local anesthetics that block sodium channels abolish the action potential.,Yes,,3,high,w4-ion-disturbance,61
54,1,4,The action potential,Electrical Signaling,Action potential simulation,Run a neuron simulation with sodium and potassium channel blockers and interpret the resulting change in the action potential tracing.,,Yes,3,core,w4-lab-ap-simulation,62
55,1,4,The action potential,Electrical Signaling,Nerve conduction measurement,Measure conduction velocity from a recorded compound action potential and account for the difference between the fastest and slowest fibers.,,Yes,3,high,w4-lab-nerve-conduction,63
56,1,4,The action potential,Synaptic Transmission,Sequence at a chemical synapse,Order the events of chemical synaptic transmission from action potential arrival through calcium entry and vesicle fusion to receptor binding and postsynaptic response.,Yes,Yes,2,core,w5-synaptic-sequence,64
57,1,4,The action potential,Synaptic Transmission,Neurotransmitter classes,"Match acetylcholine, the catecholamines, serotonin, glutamate, GABA, glycine, and the neuropeptides to their usual excitatory or inhibitory effect and to a site of action.",Yes,,2,core,w5-neurotransmitters,65
58,1,4,The action potential,Synaptic Transmission,Neurotransmitter removal,"Name the three routes that clear a neurotransmitter from the synaptic cleft, degradation, reuptake, and diffusion, and give a drug that blocks one of them.",Yes,,2,high,w5-neurotransmitter-removal,66
59,1,4,The action potential,Synaptic Transmission,Excitatory and inhibitory postsynaptic potentials,Distinguish an EPSP from an IPSP by the ion channel opened and the direction of the membrane potential change.,Yes,Yes,2,core,w5-postsynaptic-potentials,67
60,1,4,The action potential,Synaptic Transmission,Summation and integration,Distinguish temporal from spatial summation and determine whether a stated combination of EPSPs and IPSPs will bring the trigger zone to threshold.,Yes,Yes,3,core,w5-summation-integration,68
61,1,4,The action potential,Synaptic Transmission,Presynaptic modulation,"Compare presynaptic inhibition and facilitation with postsynaptic modulation and state the advantage of presynaptic control at a single input, which is selectivity.",Yes,,2,support,w5-presynaptic-modulation,69
62,1,4,The action potential,Synaptic Transmission,Synaptic plasticity,Explain long term potentiation as a mechanism of learning and identify the roles of repeated stimulation and receptor insertion.,Yes,,2,high,w5-synaptic-plasticity,70
63,1,4,The action potential,Synaptic Transmission,Electrical synapses,Compare an electrical synapse at a gap junction with a chemical synapse by speed and by capacity for modulation.,Yes,,1,support,w5-electrical-synapses,71
64,1,4,The action potential,Synaptic Transmission,Synapse simulation,Alter neurotransmitter release and receptor availability in a synapse simulation and interpret the resulting postsynaptic recording.,,Yes,3,high,w5-lab-synapse-sim,72
65,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Reflex arc components,"Diagram a reflex arc naming the receptor, sensory neuron, integrating center, motor neuron, and effector, and classify the reflex as monosynaptic or polysynaptic.",Yes,Yes,2,core,w5-reflex-arc,73
66,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Muscle spindle and stretch reflex,Explain how the muscle spindle detects stretch and trace the stretch reflex including reciprocal inhibition of the antagonist.,Yes,Yes,3,core,w5-stretch-reflex,74
67,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Golgi tendon organ,Contrast the stimulus and the reflex response of the Golgi tendon organ with those of the muscle spindle.,Yes,,2,high,w5-golgi-tendon,75
68,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Withdrawal and crossed extensor reflexes,Trace the flexor withdrawal reflex and the crossed extensor reflex and explain how the two together preserve balance.,Yes,Yes,2,high,w5-withdrawal-reflex,76
69,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Ascending and descending pathways,"Compare the dorsal column, spinothalamic, and corticospinal pathways by the information carried, the side of decussation, and the deficit produced by a lesion.",Yes,,3,core,w5-spinal-pathways,77
70,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Cerebrospinal fluid and the blood brain barrier,"State the functions of cerebrospinal fluid and explain how the blood brain barrier selects what reaches neurons, including why lipid soluble drugs cross readily.",Yes,,2,high,w5-csf-bbb,78
71,1,5,"The nervous system, from sensing to moving",Central Integration and Reflexes,Reflex testing and reaction time,Elicit and grade deep tendon reflexes and measure reaction time to distinguish a reflex response from a voluntary response by latency.,,Yes,3,core,w5-lab-reflex-testing,79
72,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Sensory transduction,Explain how a stimulus is converted into a receptor potential and how that graded potential becomes a train of action potentials in the sensory neuron.,Yes,,3,core,w7-transduction,100
73,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Receptor classification,"Classify a receptor by stimulus type as a mechanoreceptor, chemoreceptor, thermoreceptor, photoreceptor, or nociceptor and give a body location for each.",Yes,Yes,2,core,w7-receptor-classes,101
74,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Stimulus coding,"Explain how the nervous system encodes modality, location, intensity, and duration and identify the labeled line principle.",Yes,,3,core,w7-stimulus-coding,102
75,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Receptive fields and acuity,Relate receptive field size and lateral inhibition to two point discrimination and predict which body regions have the finest acuity.,Yes,Yes,3,core,w7-receptive-fields,103
76,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Receptor adaptation,Distinguish tonic from phasic receptors by their adaptation rate and match each to a stimulus the body needs to monitor continuously or only at onset.,Yes,Yes,2,core,w7-receptor-adaptation,104
77,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Somatosensory pathways,Trace touch and pain information from receptor to cortex and explain why the somatosensory homunculus is disproportionate.,Yes,,2,high,w7-somatosensory-pathways,105
78,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Pain and its modulation,"Distinguish fast and slow pain by fiber type, explain referred pain by convergence, and describe how gate control and endogenous opioids reduce pain transmission.",Yes,,3,high,w7-pain-modulation,106
79,1,5,"The nervous system, from sensing to moving",General Sensory Physiology,Tactile mapping and adaptation testing,Measure two point discrimination at several body sites and show receptor adaptation and referred sensation experimentally.,,Yes,3,core,w7-lab-tactile-mapping,107
80,1,5,"The nervous system, from sensing to moving",Special Senses,Optics and accommodation,Explain refraction by the cornea and lens and describe how accommodation and the pupillary reflex focus near and far images.,Yes,Yes,2,core,w7-vision-optics,108
81,1,5,"The nervous system, from sensing to moving",Special Senses,Phototransduction,Trace phototransduction from photon absorption by retinal through the change in cyclic GMP to the decrease in glutamate release and explain why photoreceptors hyperpolarize to light.,Yes,,3,core,w7-phototransduction,109
82,1,5,"The nervous system, from sensing to moving",Special Senses,Rods cones and visual processing,Compare rods and cones by sensitivity and acuity and trace the visual pathway to predict the field deficit produced by a lesion at the optic nerve or the optic chiasm.,Yes,,3,high,w7-visual-processing,110
83,1,5,"The nervous system, from sensing to moving",Special Senses,Refractive errors and clinical vision,"Explain myopia, hyperopia, presbyopia, and astigmatism in terms of focal point and eyeball or lens shape and state the corrective lens for each.",Yes,Yes,3,high,w7-vision-clinical,111
84,1,5,"The nervous system, from sensing to moving",Special Senses,Auditory transduction,Trace sound from the tympanic membrane through the ossicles and cochlear fluid to hair cell bending and auditory nerve firing and explain how pitch and loudness are coded.,Yes,,3,core,w7-hearing-transduction,112
85,1,5,"The nervous system, from sensing to moving",Special Senses,Conductive and sensorineural hearing loss,Distinguish conductive from sensorineural hearing loss by the site of the lesion and by the expected Weber and Rinne results.,Yes,Yes,3,high,w7-hearing-clinical,113
86,1,5,"The nervous system, from sensing to moving",Special Senses,Equilibrium,Explain how the semicircular canals detect angular acceleration and how the utricle and saccule detect linear acceleration and head position.,Yes,Yes,2,high,w7-equilibrium,114
87,1,5,"The nervous system, from sensing to moving",Special Senses,Taste and smell,Compare gustatory and olfactory transduction and explain why olfactory input reaches the limbic system without a thalamic relay.,Yes,,2,support,w7-chemical-senses,115
88,1,5,"The nervous system, from sensing to moving",Special Senses,Vision testing,"Perform visual acuity, blind spot, accommodation, and color vision testing and interpret each result.",,Yes,2,core,w7-lab-vision-tests,116
89,1,5,"The nervous system, from sensing to moving",Special Senses,Hearing and equilibrium testing,Perform Weber and Rinne tuning fork tests and a balance test and interpret the findings.,,Yes,3,high,w7-lab-hearing-tests,117
90,1,5,"The nervous system, from sensing to moving",Motor Control,Motor control hierarchy,Order the levels of motor control from spinal reflex through brainstem to cortex and state what each level contributes to a voluntary movement.,Yes,,2,core,w8-motor-hierarchy,118
91,1,5,"The nervous system, from sensing to moving",Motor Control,Corticospinal pathway,Trace the corticospinal pathway from the primary motor cortex to the skeletal muscle and identify where it crosses.,Yes,,2,core,w8-corticospinal,119
92,1,5,"The nervous system, from sensing to moving",Motor Control,Cerebellum and basal ganglia,Contrast the contributions of the cerebellum and the basal ganglia to movement and match a described motor sign to the structure involved.,Yes,,3,high,w8-cerebellum-basal-ganglia,120
93,1,5,"The nervous system, from sensing to moving",Motor Control,Upper and lower motor neuron signs,"Distinguish upper from lower motor neuron lesions by tone, reflexes, and muscle bulk and assign a set of findings to the correct level.",Yes,Yes,3,high,w8-umn-lmn,121
94,1,5,"The nervous system, from sensing to moving",Autonomic Nervous System,Autonomic and somatic organization,Contrast the somatic motor system with the autonomic two neuron pathway by neuron count and by effector tissue.,Yes,,2,core,w8-ans-organization,122
95,1,5,"The nervous system, from sensing to moving",Autonomic Nervous System,Sympathetic and parasympathetic divisions,Compare the two autonomic divisions by CNS origin and ganglion location and predict the effect of each on heart rate and on the gastrointestinal tract.,Yes,Yes,2,core,w8-ans-divisions,123
96,1,5,"The nervous system, from sensing to moving",Autonomic Nervous System,Autonomic neurotransmitters and receptors,"Match nicotinic, muscarinic, alpha, and beta receptors to their neurotransmitter, their location, and the response each produces.",Yes,,3,core,w8-ans-receptors,124
97,1,5,"The nervous system, from sensing to moving",Autonomic Nervous System,Dual innervation and tonic control,Explain dual innervation and autonomic tone and predict the effect of removing one division from a dually innervated organ.,Yes,,3,core,w8-ans-tone,125
98,1,5,"The nervous system, from sensing to moving",Autonomic Nervous System,Autonomic pharmacology,Predict the effect of a beta blocker or a muscarinic antagonist on a named organ from the receptor it targets.,Yes,,3,high,w8-ans-pharmacology,127
99,1,5,"The nervous system, from sensing to moving",Autonomic Nervous System,Autonomic function testing,Measure heart rate variability and the response to a cold pressor or orthostatic challenge and interpret the result as sympathetic or parasympathetic dominance.,,Yes,3,high,w8-lab-autonomic-testing,128
100,2,6,How muscle makes force,Skeletal Muscle Physiology,Neuromuscular junction,Trace transmission at the neuromuscular junction from the motor neuron action potential to the end plate potential and explain why every action potential in the motor neuron produces one in the muscle fiber.,Yes,Yes,2,core,w6-nmj,80
101,2,6,How muscle makes force,Skeletal Muscle Physiology,Excitation contraction coupling,Trace excitation contraction coupling from the T tubule through the DHP and ryanodine receptors to calcium release from the sarcoplasmic reticulum.,Yes,Yes,3,core,w6-ec-coupling,81
102,2,6,How muscle makes force,Skeletal Muscle Physiology,Crossbridge cycle,"Order the steps of the crossbridge cycle, binding, power stroke, detachment, and reactivation, and state where ATP binds and where it is hydrolyzed.",Yes,Yes,3,core,w6-crossbridge-cycle,82
103,2,6,How muscle makes force,Skeletal Muscle Physiology,Calcium and the regulatory proteins,Explain how calcium binding to troponin moves tropomyosin off the myosin binding site and predict what happens to contraction if calcium cannot be released.,Yes,,3,core,w6-calcium-regulation,83
104,2,6,How muscle makes force,Skeletal Muscle Physiology,Relaxation and calcium removal,Explain how SERCA and acetylcholinesterase end a contraction and predict the result if either one fails.,Yes,,3,high,w6-relaxation,84
105,2,6,How muscle makes force,Skeletal Muscle Physiology,The muscle twitch,"Label the latent period, contraction phase, and relaxation phase on a twitch tracing and explain what limits each phase.",Yes,Yes,2,core,w6-twitch,85
106,2,6,How muscle makes force,Skeletal Muscle Physiology,Summation and tetanus,Explain wave summation and distinguish unfused from fused tetanus by stimulus frequency and calcium accumulation.,Yes,Yes,3,core,w6-summation-tetanus,86
107,2,6,How muscle makes force,Skeletal Muscle Physiology,Motor units and recruitment,Define the motor unit and explain how size of the unit and orderly recruitment grade the force a whole muscle produces.,Yes,Yes,3,core,w6-motor-units,87
108,2,6,How muscle makes force,Skeletal Muscle Physiology,Length tension relationship,Interpret a length tension curve and explain why tension falls at very short and very long sarcomere lengths.,Yes,Yes,3,core,w6-length-tension,88
109,2,6,How muscle makes force,Skeletal Muscle Physiology,Isometric and isotonic contraction,"Distinguish isometric, concentric, and eccentric contractions and predict shortening velocity from the load applied.",Yes,Yes,2,core,w6-contraction-types,89
110,2,6,How muscle makes force,Skeletal Muscle Physiology,Muscle fiber types,"Compare slow oxidative, fast oxidative glycolytic, and fast glycolytic fibers by speed, ATP source, fatigue resistance, and typical task.",Yes,Yes,2,core,w6-fiber-types,90
111,2,6,How muscle makes force,Skeletal Muscle Physiology,ATP sources during activity,"Order creatine phosphate, anaerobic glycolysis, and oxidative phosphorylation by how quickly each supplies ATP and how long each can sustain it.",Yes,,2,core,w6-muscle-energetics,91
112,2,6,How muscle makes force,Skeletal Muscle Physiology,Fatigue and oxygen debt,Distinguish central from peripheral fatigue and explain the metabolic basis of excess post exercise oxygen consumption.,Yes,Yes,3,high,w6-fatigue,92
113,2,6,How muscle makes force,Skeletal Muscle Physiology,Muscle plasticity,"Predict the change in fiber size, capillary supply, and mitochondrial content produced by endurance training, resistance training, and disuse.",Yes,,3,high,w6-muscle-adaptation,93
114,2,6,How muscle makes force,Skeletal Muscle Physiology,Electromyography and grip fatigue,Record grip force and surface EMG over a sustained contraction and relate the decline in force to recruitment and fatigue.,,Yes,3,core,w6-lab-emg-fatigue,94
115,2,6,How muscle makes force,Skeletal Muscle Physiology,Twitch and tetanus simulation,Generate twitch and tetanus tracings in a muscle simulation by varying stimulus voltage and frequency and identify threshold and maximal stimulus.,,Yes,3,core,w6-lab-muscle-sim,95
116,2,6,How muscle makes force,Cardiac and Smooth Muscle,Smooth muscle contraction mechanism,Trace smooth muscle contraction through calcium entry and release to calmodulin and myosin light chain kinase and explain why the mechanism is slower and more economical than in skeletal muscle.,Yes,,3,core,w6-smooth-muscle,96
117,2,6,How muscle makes force,Cardiac and Smooth Muscle,Smooth muscle types and regulation,Compare single unit and multi unit smooth muscle and list the stimuli that alter smooth muscle tone including stretch and local chemical signals.,Yes,,2,high,w6-smooth-regulation,97
118,2,6,How muscle makes force,Cardiac and Smooth Muscle,Cardiac muscle properties,Explain how intercalated discs and gap junctions allow the myocardium to act as a functional syncytium and state why cardiac muscle cannot be tetanized.,Yes,Yes,3,core,w6-cardiac-muscle,98
119,2,6,How muscle makes force,Cardiac and Smooth Muscle,Comparison of the three muscle types,"Build a comparison of skeletal, cardiac, and smooth muscle by calcium source, regulatory protein, control, and speed of contraction.",Yes,Yes,3,core,w6-muscle-comparison,99
120,2,7,"Hormones, the slow control system",Cell Signaling,Signal types and range,"Classify a chemical signal as autocrine, paracrine, neurotransmitter, neurohormone, or hormone by its route and distance of travel.",Yes,,2,core,w3-signal-types,41
121,2,7,"Hormones, the slow control system",Cell Signaling,Receptor location and ligand solubility,Predict whether a signal molecule binds a surface receptor or an intracellular receptor from its lipid solubility and relate that to the speed and duration of the response.,Yes,,3,core,w3-receptor-location,42
122,2,7,"Hormones, the slow control system",Cell Signaling,G protein coupled receptors,Trace a G protein coupled receptor pathway from ligand binding through the G protein and amplifier enzyme to the second messenger and the cellular response.,Yes,,3,core,w3-gpcr-pathway,43
123,2,7,"Hormones, the slow control system",Cell Signaling,Second messengers,"Identify cyclic AMP, IP3, diacylglycerol, and calcium as second messengers and state the enzyme that generates each and one target it activates.",Yes,,2,core,w3-second-messengers,44
124,2,7,"Hormones, the slow control system",Cell Signaling,Catalytic receptors and intracellular receptors,Compare a receptor enzyme such as the insulin receptor with an intracellular steroid receptor by mechanism and by time course of the response.,Yes,,2,high,w3-catalytic-intracellular-receptors,45
125,2,7,"Hormones, the slow control system",Cell Signaling,Signal amplification,Explain how a cascade amplifies a signal and estimate the size of the amplification across the steps of a given pathway.,Yes,,3,high,w3-signal-amplification,46
126,2,7,"Hormones, the slow control system",Cell Signaling,Receptor modulation,"Define agonist, antagonist, competitive inhibition, up regulation, and down regulation and predict the effect of chronic ligand excess on target cell sensitivity.",Yes,,3,core,w3-receptor-modulation,47
127,2,7,"Hormones, the slow control system",Cell Signaling,Signal termination,Name three mechanisms that end a chemical signal and explain why a signal that cannot be terminated produces pathology.,Yes,,2,high,w3-signal-termination,48
128,2,7,"Hormones, the slow control system",Cell Signaling,Dose response relationships,"Plot a dose response curve, identify threshold, maximal response, and EC50, and compare a full agonist with a partial agonist on the same axes.",,Yes,3,high,w3-lab-dose-response,49
129,2,7,"Hormones, the slow control system",Endocrine Principles,Hormone classes,"Classify hormones as peptide, steroid, or amine and compare the three by synthesis, storage, and receptor location.",Yes,,2,core,w9-hormone-classes,129
