#,Module,Module title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID
17,1,"Foundations, Membranes and Cell Signaling",Chemical Foundations,Protein structure and function,Relate the levels of protein structure to binding site shape and explain how denaturation by heat or pH change destroys function.,Yes,Yes,2,high,w1-protein-function
18,1,"Foundations, Membranes and Cell Signaling",Chemical Foundations,Enzyme activity and regulation,"Describe how enzymes lower activation energy and predict the effect of substrate concentration, temperature, pH, and competitive or allosteric inhibition on reaction rate.",Yes,Yes,3,core,w1-enzyme-function
19,1,"Foundations, Membranes and Cell Signaling",Chemical Foundations,ATP and energy coupling,Explain how ATP hydrolysis is coupled to endergonic cellular work and name three categories of work that require it.,Yes,,2,core,w1-atp-energy
20,1,"Foundations, Membranes and Cell Signaling",Chemical Foundations,Enzyme assay,"Measure enzyme activity across a range of temperature or pH using a spectrophotometric or colorimetric assay, plot the results, and identify the optimum.",,Yes,3,high,w1-lab-enzyme-assay
21,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Membrane composition and fluidity,"Describe the fluid mosaic membrane and state how phospholipids, cholesterol, glycolipids, and integral and peripheral proteins contribute to its properties.",Yes,,2,core,w2-membrane-structure
22,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Determinants of permeability,"Rank molecules by their ability to cross a lipid bilayer unaided using size, charge, and lipid solubility, and predict which will require a protein.",Yes,,3,core,w2-permeability
23,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Simple diffusion and Fick's law,"State the variables in Fick's law of diffusion and predict how a change in concentration gradient, surface area, membrane thickness, or distance changes the rate of transfer.",Yes,Yes,3,core,w2-fick-diffusion
24,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Osmolarity and tonicity,"Calculate the osmolarity of a solution, distinguish osmolarity from tonicity, and classify a solution as isotonic, hypotonic, or hypertonic to a cell.",Yes,Yes,3,core,w2-osmolarity-tonicity
25,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Osmosis and cell volume,Predict the direction of water movement and the resulting change in cell volume when a cell is placed in a solution of stated osmolarity and penetrating solute content.,Yes,Yes,3,core,w2-osmosis-cell-volume
26,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Diffusion and osmosis experiment,Measure diffusion and osmotic movement across a selectively permeable membrane and relate the observed rate to molecular size and concentration gradient.,,Yes,2,core,w2-lab-diffusion-osmosis
27,1,"Foundations, Membranes and Cell Signaling",Membrane Structure and Diffusion,Tonicity and red blood cells,"Observe erythrocytes in solutions of different tonicity, identify crenation, normal shape, and hemolysis, and explain each result.",,Yes,2,high,w2-lab-rbc-tonicity
28,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Facilitated diffusion,Describe carrier and channel mediated diffusion and explain why carrier mediated transport shows saturation and specificity while simple diffusion does not.,Yes,,2,core,w2-facilitated-diffusion
29,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Primary active transport,"Explain how the sodium potassium ATPase uses ATP to move three sodium out and two potassium in, and state the two gradients it maintains.",Yes,Yes,2,core,w2-primary-active-transport
30,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Secondary active transport,Distinguish symport from antiport and trace how the sodium gradient powers glucose uptake by SGLT and calcium removal by the sodium calcium exchanger.,Yes,,3,core,w2-secondary-active-transport
31,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Transport maximum and saturation,"Interpret a transport rate curve, identify the transport maximum, and apply the concept to renal glucose handling in hyperglycemia.",Yes,Yes,3,high,w2-transport-maximum
32,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Vesicular transport,"Compare phagocytosis, pinocytosis, receptor mediated endocytosis, and exocytosis by trigger, cargo, and energy requirement.",Yes,,2,high,w2-vesicular-transport
33,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Transepithelial transport,Trace glucose or sodium from lumen to blood across a polarized epithelium and identify which step occurs at the apical membrane and which at the basolateral membrane.,Yes,,3,core,w2-transepithelial-transport
34,1,"Foundations, Membranes and Cell Signaling",Membrane Transport,Transport simulation,Use a membrane transport simulation to distinguish simple diffusion from facilitated diffusion and active transport by their response to gradient reversal and metabolic poison.,,Yes,3,high,w2-lab-transport-sim
35,1,"Foundations, Membranes and Cell Signaling",Membrane Potential,Ion distribution and electrochemical gradients,"State the typical intracellular and extracellular concentrations of sodium, potassium, chloride, and calcium and separate the chemical from the electrical component of the driving force on each ion.",Yes,,2,core,w2-electrochemical-gradient
36,1,"Foundations, Membranes and Cell Signaling",Membrane Potential,Nernst equation,Calculate the equilibrium potential for an ion with the Nernst equation and explain what the sign of the result means for the direction that ion will move.,Yes,Yes,3,core,w2-nernst
37,1,"Foundations, Membranes and Cell Signaling",Membrane Potential,Resting membrane potential,Explain why the resting membrane potential sits near the potassium equilibrium potential and predict how it shifts when membrane permeability to potassium or sodium changes.,Yes,,3,core,w2-resting-potential
38,1,"Foundations, Membranes and Cell Signaling",Membrane Potential,Ion channel gating,"Compare leak, voltage gated, ligand gated, and mechanically gated channels by what opens each one and give a physiological location for each.",Yes,,2,core,w2-ion-channels
39,1,"Foundations, Membranes and Cell Signaling",Membrane Potential,Depolarization and hyperpolarization,"Define depolarization, repolarization, hyperpolarization, and overshoot and label each on a membrane potential tracing.",Yes,Yes,1,core,w2-potential-terms
40,1,"Foundations, Membranes and Cell Signaling",Membrane Potential,Membrane potential simulation,Manipulate extracellular potassium and sodium in a simulation and record the resulting change in resting membrane potential against the Nernst prediction.,,Yes,3,high,w2-lab-membrane-potential
41,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Signal types and range,"Classify a chemical signal as autocrine, paracrine, neurotransmitter, neurohormone, or hormone by its route and distance of travel.",Yes,,2,core,w3-signal-types
42,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Receptor location and ligand solubility,Predict whether a signal molecule binds a surface receptor or an intracellular receptor from its lipid solubility and relate that to the speed and duration of the response.,Yes,,3,core,w3-receptor-location
43,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,G protein coupled receptors,Trace a G protein coupled receptor pathway from ligand binding through the G protein and amplifier enzyme to the second messenger and the cellular response.,Yes,,3,core,w3-gpcr-pathway
44,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Second messengers,"Identify cyclic AMP, IP3, diacylglycerol, and calcium as second messengers and state the enzyme that generates each and one target it activates.",Yes,,2,core,w3-second-messengers
45,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Catalytic receptors and intracellular receptors,Compare a receptor enzyme such as the insulin receptor with an intracellular steroid receptor by mechanism and by time course of the response.,Yes,,2,high,w3-catalytic-intracellular-receptors
46,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Signal amplification,Explain how a cascade amplifies a signal and estimate the size of the amplification across the steps of a given pathway.,Yes,,3,high,w3-signal-amplification
47,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Receptor modulation,"Define agonist, antagonist, competitive inhibition, up regulation, and down regulation and predict the effect of chronic ligand excess on target cell sensitivity.",Yes,,3,core,w3-receptor-modulation
48,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Signal termination,Name three mechanisms that end a chemical signal and explain why a signal that cannot be terminated produces pathology.,Yes,,2,high,w3-signal-termination
49,1,"Foundations, Membranes and Cell Signaling",Cell Signaling,Dose response relationships,"Plot a dose response curve, identify threshold, maximal response, and EC50, and compare a full agonist with a partial agonist on the same axes.",,Yes,3,high,w3-lab-dose-response
50,2,Neurophysiology and Muscle Physiology,Neurons and Neuroglia,Neuron structural and functional classes,"Classify a neuron as multipolar, bipolar, or pseudounipolar by structure and as sensory, motor, or interneuron by function, and match each class to a location in the nervous system.",Yes,Yes,2,core,w4-neuron-classes
51,2,Neurophysiology and Muscle Physiology,Neurons and Neuroglia,Functional regions of a neuron,"Label the dendrites, cell body, axon hillock, trigger zone, axon, and axon terminal and state which signal type each region carries.",Yes,Yes,2,core,w4-neuron-regions
52,2,Neurophysiology and Muscle Physiology,Neurons and Neuroglia,Glial cell functions,"Match astrocytes, oligodendrocytes, microglia, ependymal cells, satellite cells, and Schwann cells to their physiological roles.",Yes,Yes,2,core,w4-glia-functions
53,2,Neurophysiology and Muscle Physiology,Neurons and Neuroglia,Myelin and its loss,Explain how myelin and the nodes of Ranvier speed conduction and predict the functional consequence of demyelination.,Yes,,3,high,w4-myelin
54,2,Neurophysiology and Muscle Physiology,Neurons and Neuroglia,Axonal transport,Distinguish fast anterograde and retrograde axonal transport from slow transport and state what each carries.,Yes,,1,support,w4-axonal-transport
55,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Graded potentials,"Describe how a graded potential is produced and explain why it varies with stimulus strength and decays with distance, using the terms current leak and cytoplasmic resistance.",Yes,,2,core,w4-graded-potentials
56,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Action potential phases,Diagram an action potential and state the channel state and ion movement responsible for depolarization to peak and for repolarization and afterhyperpolarization.,Yes,Yes,2,core,w4-action-potential
57,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Threshold and all or none,Explain what threshold represents at the trigger zone and why action potential amplitude does not change with a stronger stimulus.,Yes,,2,core,w4-threshold
58,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Coding of stimulus intensity,Explain how the nervous system encodes stimulus strength when action potential amplitude is fixed.,Yes,,2,core,w4-intensity-coding
59,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Refractory periods,Distinguish the absolute from the relative refractory period by channel state and explain how the refractory period sets maximum firing frequency and prevents backward conduction.,Yes,,3,core,w4-refractory
60,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Conduction velocity,Rank axons by conduction velocity using diameter and myelination and contrast continuous with saltatory conduction.,Yes,Yes,2,core,w4-conduction-velocity
61,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Effects of altered extracellular ions,Predict the effect of hyperkalemia and hypokalemia on resting potential and excitability and explain why local anesthetics that block sodium channels abolish the action potential.,Yes,,3,high,w4-ion-disturbance
62,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Action potential simulation,Run a neuron simulation with sodium and potassium channel blockers and interpret the resulting change in the action potential tracing.,,Yes,3,core,w4-lab-ap-simulation
63,2,Neurophysiology and Muscle Physiology,Electrical Signaling,Nerve conduction measurement,Measure conduction velocity from a recorded compound action potential and account for the difference between the fastest and slowest fibers.,,Yes,3,high,w4-lab-nerve-conduction
64,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Sequence at a chemical synapse,Order the events of chemical synaptic transmission from action potential arrival through calcium entry and vesicle fusion to receptor binding and postsynaptic response.,Yes,Yes,2,core,w5-synaptic-sequence
65,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Neurotransmitter classes,"Match acetylcholine, the catecholamines, serotonin, glutamate, GABA, glycine, and the neuropeptides to their usual excitatory or inhibitory effect and to a site of action.",Yes,,2,core,w5-neurotransmitters
66,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Neurotransmitter removal,"Name the three routes that clear a neurotransmitter from the synaptic cleft, degradation, reuptake, and diffusion, and give a drug that blocks one of them.",Yes,,2,high,w5-neurotransmitter-removal
67,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Excitatory and inhibitory postsynaptic potentials,Distinguish an EPSP from an IPSP by the ion channel opened and the direction of the membrane potential change.,Yes,Yes,2,core,w5-postsynaptic-potentials
68,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Summation and integration,Distinguish temporal from spatial summation and determine whether a stated combination of EPSPs and IPSPs will bring the trigger zone to threshold.,Yes,Yes,3,core,w5-summation-integration
69,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Presynaptic modulation,"Compare presynaptic inhibition and facilitation with postsynaptic modulation and state the advantage of presynaptic control at a single input, which is selectivity.",Yes,,2,support,w5-presynaptic-modulation
70,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Synaptic plasticity,Explain long term potentiation as a mechanism of learning and identify the roles of repeated stimulation and receptor insertion.,Yes,,2,high,w5-synaptic-plasticity
71,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Electrical synapses,Compare an electrical synapse at a gap junction with a chemical synapse by speed and by capacity for modulation.,Yes,,1,support,w5-electrical-synapses
72,2,Neurophysiology and Muscle Physiology,Synaptic Transmission,Synapse simulation,Alter neurotransmitter release and receptor availability in a synapse simulation and interpret the resulting postsynaptic recording.,,Yes,3,high,w5-lab-synapse-sim
73,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Reflex arc components,"Diagram a reflex arc naming the receptor, sensory neuron, integrating center, motor neuron, and effector, and classify the reflex as monosynaptic or polysynaptic.",Yes,Yes,2,core,w5-reflex-arc
74,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Muscle spindle and stretch reflex,Explain how the muscle spindle detects stretch and trace the stretch reflex including reciprocal inhibition of the antagonist.,Yes,Yes,3,core,w5-stretch-reflex
75,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Golgi tendon organ,Contrast the stimulus and the reflex response of the Golgi tendon organ with those of the muscle spindle.,Yes,,2,high,w5-golgi-tendon
76,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Withdrawal and crossed extensor reflexes,Trace the flexor withdrawal reflex and the crossed extensor reflex and explain how the two together preserve balance.,Yes,Yes,2,high,w5-withdrawal-reflex
77,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Ascending and descending pathways,"Compare the dorsal column, spinothalamic, and corticospinal pathways by the information carried, the side of decussation, and the deficit produced by a lesion.",Yes,,3,core,w5-spinal-pathways
78,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Cerebrospinal fluid and the blood brain barrier,"State the functions of cerebrospinal fluid and explain how the blood brain barrier selects what reaches neurons, including why lipid soluble drugs cross readily.",Yes,,2,high,w5-csf-bbb
79,2,Neurophysiology and Muscle Physiology,Central Integration and Reflexes,Reflex testing and reaction time,Elicit and grade deep tendon reflexes and measure reaction time to distinguish a reflex response from a voluntary response by latency.,,Yes,3,core,w5-lab-reflex-testing
80,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Neuromuscular junction,Trace transmission at the neuromuscular junction from the motor neuron action potential to the end plate potential and explain why every action potential in the motor neuron produces one in the muscle fiber.,Yes,Yes,2,core,w6-nmj
81,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Excitation contraction coupling,Trace excitation contraction coupling from the T tubule through the DHP and ryanodine receptors to calcium release from the sarcoplasmic reticulum.,Yes,Yes,3,core,w6-ec-coupling
82,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Crossbridge cycle,"Order the steps of the crossbridge cycle, binding, power stroke, detachment, and reactivation, and state where ATP binds and where it is hydrolyzed.",Yes,Yes,3,core,w6-crossbridge-cycle
83,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Calcium and the regulatory proteins,Explain how calcium binding to troponin moves tropomyosin off the myosin binding site and predict what happens to contraction if calcium cannot be released.,Yes,,3,core,w6-calcium-regulation
84,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Relaxation and calcium removal,Explain how SERCA and acetylcholinesterase end a contraction and predict the result if either one fails.,Yes,,3,high,w6-relaxation
85,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,The muscle twitch,"Label the latent period, contraction phase, and relaxation phase on a twitch tracing and explain what limits each phase.",Yes,Yes,2,core,w6-twitch
86,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Summation and tetanus,Explain wave summation and distinguish unfused from fused tetanus by stimulus frequency and calcium accumulation.,Yes,Yes,3,core,w6-summation-tetanus
87,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Motor units and recruitment,Define the motor unit and explain how size of the unit and orderly recruitment grade the force a whole muscle produces.,Yes,Yes,3,core,w6-motor-units
88,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Length tension relationship,Interpret a length tension curve and explain why tension falls at very short and very long sarcomere lengths.,Yes,Yes,3,core,w6-length-tension
89,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Isometric and isotonic contraction,"Distinguish isometric, concentric, and eccentric contractions and predict shortening velocity from the load applied.",Yes,Yes,2,core,w6-contraction-types
90,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Muscle fiber types,"Compare slow oxidative, fast oxidative glycolytic, and fast glycolytic fibers by speed, ATP source, fatigue resistance, and typical task.",Yes,Yes,2,core,w6-fiber-types
91,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,ATP sources during activity,"Order creatine phosphate, anaerobic glycolysis, and oxidative phosphorylation by how quickly each supplies ATP and how long each can sustain it.",Yes,,2,core,w6-muscle-energetics
92,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Fatigue and oxygen debt,Distinguish central from peripheral fatigue and explain the metabolic basis of excess post exercise oxygen consumption.,Yes,Yes,3,high,w6-fatigue
93,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Muscle plasticity,"Predict the change in fiber size, capillary supply, and mitochondrial content produced by endurance training, resistance training, and disuse.",Yes,,3,high,w6-muscle-adaptation
94,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Electromyography and grip fatigue,Record grip force and surface EMG over a sustained contraction and relate the decline in force to recruitment and fatigue.,,Yes,3,core,w6-lab-emg-fatigue
95,2,Neurophysiology and Muscle Physiology,Skeletal Muscle Physiology,Twitch and tetanus simulation,Generate twitch and tetanus tracings in a muscle simulation by varying stimulus voltage and frequency and identify threshold and maximal stimulus.,,Yes,3,core,w6-lab-muscle-sim
96,2,Neurophysiology and Muscle Physiology,Cardiac and Smooth Muscle,Smooth muscle contraction mechanism,Trace smooth muscle contraction through calcium entry and release to calmodulin and myosin light chain kinase and explain why the mechanism is slower and more economical than in skeletal muscle.,Yes,,3,core,w6-smooth-muscle
97,2,Neurophysiology and Muscle Physiology,Cardiac and Smooth Muscle,Smooth muscle types and regulation,Compare single unit and multi unit smooth muscle and list the stimuli that alter smooth muscle tone including stretch and local chemical signals.,Yes,,2,high,w6-smooth-regulation
98,2,Neurophysiology and Muscle Physiology,Cardiac and Smooth Muscle,Cardiac muscle properties,Explain how intercalated discs and gap junctions allow the myocardium to act as a functional syncytium and state why cardiac muscle cannot be tetanized.,Yes,Yes,3,core,w6-cardiac-muscle
99,2,Neurophysiology and Muscle Physiology,Cardiac and Smooth Muscle,Comparison of the three muscle types,"Build a comparison of skeletal, cardiac, and smooth muscle by calcium source, regulatory protein, control, and speed of contraction.",Yes,Yes,3,core,w6-muscle-comparison
100,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Sensory transduction,Explain how a stimulus is converted into a receptor potential and how that graded potential becomes a train of action potentials in the sensory neuron.,Yes,,3,core,w7-transduction
101,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Receptor classification,"Classify a receptor by stimulus type as a mechanoreceptor, chemoreceptor, thermoreceptor, photoreceptor, or nociceptor and give a body location for each.",Yes,Yes,2,core,w7-receptor-classes
102,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Stimulus coding,"Explain how the nervous system encodes modality, location, intensity, and duration and identify the labeled line principle.",Yes,,3,core,w7-stimulus-coding
103,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Receptive fields and acuity,Relate receptive field size and lateral inhibition to two point discrimination and predict which body regions have the finest acuity.,Yes,Yes,3,core,w7-receptive-fields
104,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Receptor adaptation,Distinguish tonic from phasic receptors by their adaptation rate and match each to a stimulus the body needs to monitor continuously or only at onset.,Yes,Yes,2,core,w7-receptor-adaptation
105,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Somatosensory pathways,Trace touch and pain information from receptor to cortex and explain why the somatosensory homunculus is disproportionate.,Yes,,2,high,w7-somatosensory-pathways
106,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Pain and its modulation,"Distinguish fast and slow pain by fiber type, explain referred pain by convergence, and describe how gate control and endogenous opioids reduce pain transmission.",Yes,,3,high,w7-pain-modulation
107,3,"Sensory, Motor, Autonomic and Endocrine Physiology",General Sensory Physiology,Tactile mapping and adaptation testing,Measure two point discrimination at several body sites and show receptor adaptation and referred sensation experimentally.,,Yes,3,core,w7-lab-tactile-mapping
108,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Optics and accommodation,Explain refraction by the cornea and lens and describe how accommodation and the pupillary reflex focus near and far images.,Yes,Yes,2,core,w7-vision-optics
109,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Phototransduction,Trace phototransduction from photon absorption by retinal through the change in cyclic GMP to the decrease in glutamate release and explain why photoreceptors hyperpolarize to light.,Yes,,3,core,w7-phototransduction
110,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Rods cones and visual processing,Compare rods and cones by sensitivity and acuity and trace the visual pathway to predict the field deficit produced by a lesion at the optic nerve or the optic chiasm.,Yes,,3,high,w7-visual-processing
111,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Refractive errors and clinical vision,"Explain myopia, hyperopia, presbyopia, and astigmatism in terms of focal point and eyeball or lens shape and state the corrective lens for each.",Yes,Yes,3,high,w7-vision-clinical
112,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Auditory transduction,Trace sound from the tympanic membrane through the ossicles and cochlear fluid to hair cell bending and auditory nerve firing and explain how pitch and loudness are coded.,Yes,,3,core,w7-hearing-transduction
113,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Conductive and sensorineural hearing loss,Distinguish conductive from sensorineural hearing loss by the site of the lesion and by the expected Weber and Rinne results.,Yes,Yes,3,high,w7-hearing-clinical
114,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Equilibrium,Explain how the semicircular canals detect angular acceleration and how the utricle and saccule detect linear acceleration and head position.,Yes,Yes,2,high,w7-equilibrium
115,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Taste and smell,Compare gustatory and olfactory transduction and explain why olfactory input reaches the limbic system without a thalamic relay.,Yes,,2,support,w7-chemical-senses
116,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Vision testing,"Perform visual acuity, blind spot, accommodation, and color vision testing and interpret each result.",,Yes,2,core,w7-lab-vision-tests
117,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Special Senses,Hearing and equilibrium testing,Perform Weber and Rinne tuning fork tests and a balance test and interpret the findings.,,Yes,3,high,w7-lab-hearing-tests
118,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Motor Control,Motor control hierarchy,Order the levels of motor control from spinal reflex through brainstem to cortex and state what each level contributes to a voluntary movement.,Yes,,2,core,w8-motor-hierarchy
119,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Motor Control,Corticospinal pathway,Trace the corticospinal pathway from the primary motor cortex to the skeletal muscle and identify where it crosses.,Yes,,2,core,w8-corticospinal
120,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Motor Control,Cerebellum and basal ganglia,Contrast the contributions of the cerebellum and the basal ganglia to movement and match a described motor sign to the structure involved.,Yes,,3,high,w8-cerebellum-basal-ganglia
121,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Motor Control,Upper and lower motor neuron signs,"Distinguish upper from lower motor neuron lesions by tone, reflexes, and muscle bulk and assign a set of findings to the correct level.",Yes,Yes,3,high,w8-umn-lmn
122,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Autonomic Nervous System,Autonomic and somatic organization,Contrast the somatic motor system with the autonomic two neuron pathway by neuron count and by effector tissue.,Yes,,2,core,w8-ans-organization
123,3,"Sensory, Motor, Autonomic and Endocrine Physiology",Autonomic Nervous System,Sympathetic and parasympathetic divisions,Compare the two autonomic divisions by CNS origin and ganglion location and predict the effect of each on heart rate and on the gastrointestinal tract.,Yes,Yes,2,core,w8-ans-divisions
