id,topic,old_week,new_week,action,reason
w2-potential-terms,Membrane Potential,2,4,moved,topic moves as a block
w2-lab-membrane-potential,Membrane Potential,2,4,moved,topic moves as a block
w3-signal-types,Cell Signaling,3,7,moved,topic moves as a block
w3-receptor-location,Cell Signaling,3,7,moved,topic moves as a block
w3-gpcr-pathway,Cell Signaling,3,7,moved,topic moves as a block
w3-second-messengers,Cell Signaling,3,7,moved,topic moves as a block
w3-catalytic-intracellular-receptors,Cell Signaling,3,7,moved,topic moves as a block
w3-signal-amplification,Cell Signaling,3,7,moved,topic moves as a block
w3-receptor-modulation,Cell Signaling,3,7,moved,topic moves as a block
w3-signal-termination,Cell Signaling,3,7,moved,topic moves as a block
w3-lab-dose-response,Cell Signaling,3,7,moved,topic moves as a block
w4-neuron-classes,Neurons and Neuroglia,4,4,unchanged,topic moves as a block
w4-neuron-regions,Neurons and Neuroglia,4,4,unchanged,topic moves as a block
w4-glia-functions,Neurons and Neuroglia,4,4,unchanged,topic moves as a block
w4-myelin,Neurons and Neuroglia,4,4,unchanged,topic moves as a block
w4-axonal-transport,Neurons and Neuroglia,4,4,unchanged,topic moves as a block
w4-graded-potentials,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-action-potential,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-threshold,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-intensity-coding,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-refractory,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-conduction-velocity,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-ion-disturbance,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-lab-ap-simulation,Electrical Signaling,4,4,unchanged,topic moves as a block
w4-lab-nerve-conduction,Electrical Signaling,4,4,unchanged,topic moves as a block
w5-synaptic-sequence,Synaptic Transmission,5,4,moved,topic moves as a block
w5-neurotransmitters,Synaptic Transmission,5,4,moved,topic moves as a block
w5-neurotransmitter-removal,Synaptic Transmission,5,4,moved,topic moves as a block
w5-postsynaptic-potentials,Synaptic Transmission,5,4,moved,topic moves as a block
w5-summation-integration,Synaptic Transmission,5,4,moved,topic moves as a block
w5-presynaptic-modulation,Synaptic Transmission,5,4,moved,topic moves as a block
w5-synaptic-plasticity,Synaptic Transmission,5,4,moved,topic moves as a block
w5-electrical-synapses,Synaptic Transmission,5,4,moved,topic moves as a block
w5-lab-synapse-sim,Synaptic Transmission,5,4,moved,topic moves as a block
w5-reflex-arc,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w5-stretch-reflex,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w5-golgi-tendon,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w5-withdrawal-reflex,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w5-spinal-pathways,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w5-csf-bbb,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w5-lab-reflex-testing,Central Integration and Reflexes,5,5,unchanged,topic moves as a block
w6-nmj,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-ec-coupling,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-crossbridge-cycle,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-calcium-regulation,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-relaxation,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-twitch,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-summation-tetanus,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-motor-units,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-length-tension,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-contraction-types,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-fiber-types,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-muscle-energetics,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-fatigue,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-muscle-adaptation,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-lab-emg-fatigue,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-lab-muscle-sim,Skeletal Muscle Physiology,6,6,unchanged,topic moves as a block
w6-smooth-muscle,Cardiac and Smooth Muscle,6,6,unchanged,topic moves as a block
w6-smooth-regulation,Cardiac and Smooth Muscle,6,6,unchanged,topic moves as a block
w6-cardiac-muscle,Cardiac and Smooth Muscle,6,6,unchanged,topic moves as a block
w6-muscle-comparison,Cardiac and Smooth Muscle,6,6,unchanged,topic moves as a block
w7-transduction,General Sensory Physiology,7,5,moved,topic moves as a block
w7-receptor-classes,General Sensory Physiology,7,5,moved,topic moves as a block
w7-stimulus-coding,General Sensory Physiology,7,5,moved,topic moves as a block
w7-receptive-fields,General Sensory Physiology,7,5,moved,topic moves as a block
w7-receptor-adaptation,General Sensory Physiology,7,5,moved,topic moves as a block
w7-somatosensory-pathways,General Sensory Physiology,7,5,moved,topic moves as a block
w7-pain-modulation,General Sensory Physiology,7,5,moved,topic moves as a block
w7-lab-tactile-mapping,General Sensory Physiology,7,5,moved,topic moves as a block
w7-vision-optics,Special Senses,7,5,moved,topic moves as a block
w7-phototransduction,Special Senses,7,5,moved,topic moves as a block
w7-visual-processing,Special Senses,7,5,moved,topic moves as a block
w7-vision-clinical,Special Senses,7,5,moved,topic moves as a block
w7-hearing-transduction,Special Senses,7,5,moved,topic moves as a block
w7-hearing-clinical,Special Senses,7,5,moved,topic moves as a block
w7-equilibrium,Special Senses,7,5,moved,topic moves as a block
w7-chemical-senses,Special Senses,7,5,moved,topic moves as a block
w7-lab-vision-tests,Special Senses,7,5,moved,topic moves as a block
w7-lab-hearing-tests,Special Senses,7,5,moved,topic moves as a block
w8-motor-hierarchy,Motor Control,8,5,moved,topic moves as a block
w8-corticospinal,Motor Control,8,5,moved,topic moves as a block
w8-cerebellum-basal-ganglia,Motor Control,8,5,moved,topic moves as a block
w8-umn-lmn,Motor Control,8,5,moved,topic moves as a block
w8-ans-organization,Autonomic Nervous System,8,5,moved,topic moves as a block
w8-ans-divisions,Autonomic Nervous System,8,5,moved,topic moves as a block
w8-ans-receptors,Autonomic Nervous System,8,5,moved,topic moves as a block
w8-ans-tone,Autonomic Nervous System,8,5,moved,topic moves as a block
w8-adrenal-medulla,Autonomic Nervous System,8,9,moved,Week 9 names the adrenal medulla directly
w8-ans-pharmacology,Autonomic Nervous System,8,5,moved,topic moves as a block
w8-lab-autonomic-testing,Autonomic Nervous System,8,5,moved,topic moves as a block
w9-hormone-classes,Endocrine Principles,9,7,moved,topic moves as a block
w9-hormone-transport,Endocrine Principles,9,7,moved,topic moves as a block
w9-hormone-receptors,Endocrine Principles,9,7,moved,topic moves as a block
w9-hormone-interactions,Endocrine Principles,9,7,moved,topic moves as a block
w9-hormone-release,Endocrine Principles,9,7,moved,topic moves as a block
w9-hypothalamic-pituitary,Endocrine Principles,9,7,moved,topic moves as a block
w9-endocrine-pathology,Endocrine Principles,9,7,moved,topic moves as a block
w9-posterior-pituitary,Endocrine Glands,9,7,moved,stays with the axis template
w9-growth-hormone,Endocrine Glands,9,12,moved,metabolic actions sit with energy balance
w9-thyroid,Endocrine Glands,9,12,moved,metabolic rate sits with energy balance
w9-adrenal-cortex,Endocrine Glands,9,10,moved,aldosterone sits with renin angiotensin and blood volume
w9-stress-response,Endocrine Glands,9,12,moved,cortisol's metabolic actions sit with energy balance
w9-calcium-homeostasis,Endocrine Glands,9,14,moved,"Week 14 names sodium, potassium, and calcium balance"
w9-islet-hormones,Endocrine Glands,9,12,moved,insulin and glucagon sit with energy balance
w9-diabetes,Endocrine Glands,9,12,moved,follows the islet hormones
w9-lab-glucose-tolerance,Endocrine Glands,9,12,moved,follows the islet hormones
w9-lab-hormone-assay,Endocrine Glands,9,7,moved,stays with the axis template
w10-plasma,Blood,10,11,moved,topic moves as a block
w10-hematocrit,Blood,10,11,moved,topic moves as a block
w10-rbc-hemoglobin,Blood,10,11,moved,topic moves as a block
w10-erythropoiesis,Blood,10,11,moved,topic moves as a block
w10-rbc-destruction,Blood,10,11,moved,topic moves as a block
w10-leukocytes,Blood,10,11,moved,topic moves as a block
w10-hemostasis,Blood,10,11,moved,topic moves as a block
w10-coagulation,Blood,10,11,moved,topic moves as a block
w10-fibrinolysis,Blood,10,11,moved,topic moves as a block
w10-blood-types,Blood,10,11,moved,topic moves as a block
w10-lab-hematocrit,Blood,10,11,moved,topic moves as a block
w10-lab-blood-typing,Blood,10,11,moved,topic moves as a block
w10-pacemaker-potential,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w10-cardiac-ap,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w10-conduction-system,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w10-cardiac-refractory,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w10-ecg-basics,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w10-ecg-interpretation,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w10-lab-ecg,Cardiac Electrophysiology,10,9,moved,topic moves as a block
w11-cardiac-cycle,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-pv-loop,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-heart-sounds,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-stroke-volume,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-cardiac-output,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-frank-starling,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-preload-afterload,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-cardiac-regulation,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-lab-heart-sounds,Cardiac Mechanics,11,9,moved,topic moves as a block
w11-flow-resistance,Vascular Physiology,11,10,moved,topic moves as a block
w11-vessel-function,Vascular Physiology,11,10,moved,topic moves as a block
w11-blood-pressure,Vascular Physiology,11,10,moved,topic moves as a block
w11-local-blood-flow,Vascular Physiology,11,10,moved,topic moves as a block
w11-capillary-exchange,Vascular Physiology,11,10,moved,topic moves as a block
w11-edema,Vascular Physiology,11,10,moved,edema stays with Starling forces
w11-lymph-return,Vascular Physiology,11,11,unchanged,lymphatic return pairs with immune surveillance
w11-venous-return,Vascular Physiology,11,10,moved,topic moves as a block
w11-lab-bp-measurement,Vascular Physiology,11,10,moved,topic moves as a block
w11-baroreflex,Cardiovascular Regulation,11,10,moved,topic moves as a block
w11-cv-hormonal,Cardiovascular Regulation,11,10,moved,topic moves as a block
w11-exercise-cv,Cardiovascular Regulation,11,10,moved,topic moves as a block
w11-shock-compensation,Cardiovascular Regulation,11,10,moved,topic moves as a block
w12-respiratory-functions,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-ventilation-mechanics,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-intrapleural-pressure,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-compliance,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-surfactant,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-airway-resistance,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-lung-volumes,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-spirometry-patterns,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-dead-space,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-lab-spirometry,Respiratory Mechanics,12,13,moved,topic moves as a block
w12-partial-pressures,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-gas-diffusion,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-va-q-matching,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-oxygen-transport,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-hb-curve-shifts,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-co2-transport,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-bohr-haldane,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-oxygen-content,Gas Exchange and Transport,12,13,moved,topic moves as a block
w12-respiratory-centers,Control of Ventilation,12,13,moved,topic moves as a block
w12-chemoreceptors,Control of Ventilation,12,13,moved,topic moves as a block
w12-ventilation-adaptation,Control of Ventilation,12,13,moved,topic moves as a block
w12-lab-ventilation-response,Control of Ventilation,12,13,moved,topic moves as a block
w13-kidney-functions,Renal Physiology,13,14,moved,topic moves as a block
w13-nephron-function,Renal Physiology,13,14,moved,topic moves as a block
w13-renal-processes,Renal Physiology,13,14,moved,topic moves as a block
w13-filtration-membrane,Renal Physiology,13,14,moved,topic moves as a block
w13-gfr-forces,Renal Physiology,13,14,moved,topic moves as a block
w13-gfr-regulation,Renal Physiology,13,14,moved,topic moves as a block
w13-renal-clearance,Renal Physiology,13,14,moved,topic moves as a block
w13-clearance-inference,Renal Physiology,13,14,moved,topic moves as a block
w13-proximal-reabsorption,Renal Physiology,13,14,moved,topic moves as a block
w13-renal-threshold,Renal Physiology,13,14,moved,topic moves as a block
w13-tubular-secretion,Renal Physiology,13,14,moved,topic moves as a block
w13-countercurrent,Renal Physiology,13,14,moved,topic moves as a block
w13-adh-water-balance,Renal Physiology,13,14,moved,topic moves as a block
w13-raas,Renal Physiology,13,14,moved,topic moves as a block
w13-natriuretic-peptides,Renal Physiology,13,14,moved,topic moves as a block
w13-potassium-handling,Renal Physiology,13,14,moved,topic moves as a block
w13-micturition,Renal Physiology,13,14,moved,topic moves as a block
w13-lab-urinalysis,Renal Physiology,13,14,moved,topic moves as a block
w13-lab-renal-calculation,Renal Physiology,13,14,moved,topic moves as a block
w13-buffer-systems,Acid Base and Fluid Balance,13,13,unchanged,buffers come with the fast respiratory lever
w13-respiratory-ph-control,Acid Base and Fluid Balance,13,13,unchanged,the fast lever
w13-renal-ph-control,Acid Base and Fluid Balance,13,15,moved,the slow lever
w13-acid-base-disorders,Acid Base and Fluid Balance,13,15,moved,read once both levers are on the table
w13-acid-base-compensation,Acid Base and Fluid Balance,13,15,moved,read once both levers are on the table
w13-lab-abg-interpretation,Acid Base and Fluid Balance,13,15,moved,read once both levers are on the table
w13-volume-osmolarity,Acid Base and Fluid Balance,13,14,moved,volume and osmolarity sit with fluid and electrolyte balance
w14-digestive-processes,Digestive Physiology,14,12,moved,topic moves as a block
w14-gi-motility,Digestive Physiology,14,12,moved,topic moves as a block
w14-gi-regulation,Digestive Physiology,14,12,moved,topic moves as a block
w14-digestive-phases,Digestive Physiology,14,12,moved,topic moves as a block
w14-gastric-secretion,Digestive Physiology,14,12,moved,topic moves as a block
w14-pancreatic-bile-secretion,Digestive Physiology,14,12,moved,topic moves as a block
w14-carb-protein-absorption,Digestive Physiology,14,12,moved,topic moves as a block
w14-lipid-absorption,Digestive Physiology,14,12,moved,topic moves as a block
w14-liver-function,Digestive Physiology,14,12,moved,topic moves as a block
w14-large-intestine,Digestive Physiology,14,12,moved,topic moves as a block
w14-lab-digestion-enzymes,Digestive Physiology,14,12,moved,topic moves as a block
w14-atp-pathways,Metabolism and Energy Balance,14,2,moved,Week 2 lists the metabolic pathways in outline
w14-absorptive-state,Metabolism and Energy Balance,14,12,moved,topic moves as a block
w14-postabsorptive-state,Metabolism and Energy Balance,14,12,moved,topic moves as a block
w14-glucose-regulation,Metabolism and Energy Balance,14,12,moved,topic moves as a block
w14-metabolic-rate,Metabolism and Energy Balance,14,12,moved,topic moves as a block
w14-thermoregulation,Metabolism and Energy Balance,14,12,moved,topic moves as a block
w14-lab-metabolic-rate,Metabolism and Energy Balance,14,12,moved,topic moves as a block
w15-innate-immunity,Immune Physiology,15,11,moved,topic moves as a block
w15-inflammation,Immune Physiology,15,11,moved,topic moves as a block
w15-adaptive-immunity,Immune Physiology,15,11,moved,topic moves as a block
w15-antibodies,Immune Physiology,15,11,moved,topic moves as a block
w15-immune-memory,Immune Physiology,15,11,moved,topic moves as a block
w15-immune-dysfunction,Immune Physiology,15,11,moved,topic moves as a block
w15-hpg-axis,Reproductive Physiology,15,8,moved,topic moves as a block
w15-male-reproductive,Reproductive Physiology,15,8,moved,topic moves as a block
w15-ovarian-cycle,Reproductive Physiology,15,8,moved,topic moves as a block
w15-uterine-cycle,Reproductive Physiology,15,8,moved,topic moves as a block
w15-pregnancy-hormones,Reproductive Physiology,15,8,moved,topic moves as a block
w15-parturition-lactation,Reproductive Physiology,15,8,moved,topic moves as a block
w15-lab-cycle-graphs,Reproductive Physiology,15,8,moved,topic moves as a block
w15-integration-case,Integration,15,15,unchanged,topic moves as a block
w15-exercise-integration,Integration,15,15,unchanged,topic moves as a block
w15-drawing-synthesis,Integration,15,15,unchanged,topic moves as a block
